28080,4280,12880,880
43670,5280,38080,7880
64480,10480,43680,31280
77280,38880,48680,70880
132680,47480,64080,102670
144880,55880,64480,111680
153680,61280,69280,138680
156080,63280,77480,138700
159080,64480,103080,164080
160470,85480,117280,181280
161670,94080,118880,191880
187660,139480,120280,214680
213880,158880,127480,226880
215880,163080,144080,257680
225270,179280,145080,277680
255480,179680,159680,313880
309080,224880,160880,331880
314080,244880,200880,372480
427280,296080,205280,430680
454080,302280,207080,430700
457080,304680,230480,463080
459880,304710,257080,501480
505880,317280,282680,518330
518680,317480,306480,519280
534880,354880,314080,550680
571080,354900,319680,566280
577880,362480,340480,584080
592280,372080,348880,584210
606670,381880,353680,640880
608480,385480,353880,668080
609880,386480,354880,668100
647680,386680,428280,673480
658680,395080,437480,686880
666870,456880,452280,723280
667480,474880,484480,734080
670480,499480,552700,734100
680080,504680,578880,735880
681280,521080,585080,754280
688080,557280,616480,799080
695080,642280,639880,822220
698470,649280,666680,853880
704280,652480,669480,863880
711480,719080,684680,867080
726480,721880,720880,881480
740480,727080,726880,899880
766080,740560,764680,911480
799680,749880,783880,916880
823070,798680,792880,971680
829470,850080,814280,979080
841670,851680,828680,994680
867480,860480,841280,1049280
874880,893280,905480,1081080
917880,916280,915680,1214680
919680,956480,922080,1220680
921680,959480,975680,1224680
929880,960880,994680,1250880
929900,970480,1000880,1288280
930880,978880,1006680,1330680
942480,997280,1024280,1336880
961480,1030680,1027480,1357680
961520,1043480,1053080,1420880
968280,1053080,1062080,1431880
971670,1096880,1097880,1432680
1000880,1109080,1120480,1432700
1014280,1118080,1145480,1450480
1026080,1127680,1149680,1457480
1045680,1131080,1162480,1457500
1068080,1186680,1162680,1478530
1076880,1194280,1163280,1487480
1076900,1199080,1183280,1493480
1087680,1203080,1191480,1518680
1103680,1203880,1194280,1566280
1116680,1210480,1203480,1572870
1116880,1238680,1205280,1593280
1117680,1287080,1211680,1640280
1127280,1322280,1252480,1660480
1132080,1362280,1269880,1665680
1145280,1387280,1284880,1683280
1157280,1387880,1300080,1690680
1162880,1394080,1304880,1690880
1175880,1436480,1371080,1712080
1191680,1495680,1374280,1728880
1216470,1520680,1374880,1756880
1220280,1526680,1385280,1775680
1245680,1531480,1387280,1784280
1289080,1546480,1405480,1808080
1305080,1551880,1425880,1808880
1305480,1552500,1428680,1808900
1318080,1591280,1551480,1825880
1333880,1594880,1555680,1832280
1355280,1621480,1563880,1840880
1361280,1660080,1572470,1893880
1369270,1671280,1580480,1911480
1386280,1674280,1590880,1938080
1396880,1692480,1590970,1943480
1403280,1704680,1595630,1972280
1415880,1706680,1600880,1975080
1415900,1715480,1608880,1995480
1416480,1726080,1616880,2003480
1446280,1730280,1621080,2026680
1446300,1731680,1631880,2054080
1467680,1771480,1643080,2073280
1479270,1782870,1681080,2085880
