11,1
22,3
29,4
36,5
71,6
100,8
119,11
135,13
151,14
173,15
182,20
200,22
251,26
297,29
318,32
367,37
379,38
382,39
383,40
406,41
415,42
423,44
438,49
487,51
489,52
566,59
569,60
601,64
612,65
642,66
674,68
737,71
786,73
795,74
795,75
799,76
819,78
820,79
829,81
837,83
864,84
885,85
897,86
909,90
951,94
984,96
988,97
1169,106
1176,107
1177,108
1239,112
1283,114
1324,118
1409,123
1422,124
1450,125
1475,127
1479,128
1489,129
1491,131
1552,135
1566,136
1623,138
1638,140
1643,141
1650,142
1682,144
1684,146
1686,147
1686,148
1689,149
1691,150
1700,151
1719,152
1720,153
1728,154
1755,157
1778,159
1836,164
1850,167
1867,168
1867,169
1885,171
1886,172
1907,173
1917,174
1980,177
2002,178
2017,180
2018,181
2052,182
2070,183
2089,185
2123,188
2147,189
2157,191
2182,193
2192,194
2193,195
2211,196
2229,197
2274,199
2313,203
2329,207
2424,214
2427,215
2430,216
2430,217
2452,221
2464,222
2469,223
2516,227
2528,229
2542,230
2584,232
2586,233
2633,236
2642,237
2651,238
2658,239
2678,241
2727,245
2741,246
2769,247
2773,248
2787,249
2820,254
2825,255
2844,256
2856,258
2860,259
2893,260
2934,265
2935,266
2937,267
2987,270
3000,272
3010,273
3035,276
3072,282
3220,291
3257,292
3262,293
3295,296
3352,300
3363,301
3380,302
3389,303
3398,304
3438,305
3453,307
3456,308
3480,310
3519,314
3522,315
3543,318
3567,321
3625,326
3643,328
3654,331
3703,335
3703,336
3726,337
3777,340
3793,341
3796,342
3831,343
3839,344
3848,345
3854,346
3888,349
3918,352
3938,356
3946,357
3965,359
3969,360
4005,364
4059,372
4084,373
4115,375
4139,377
4163,379
4165,380
4203,383
4204,384
4230,387
4235,388
4255,389
4260,390
4283,392
4284,393
4312,396
4317,397
4329,398
4362,401
4367,402
4376,404
4378,405
4387,408
4401,409
4427,410
4442,412
4468,413
4474,414
4479,415
4498,417
4517,421
4536,422
4559,425
4563,426
4563,427
4597,429
4616,431
4619,432
4643,435
4664,436
4683,437
4725,439
4733,442
4744,444
4774,448
4777,449
4786,452
4802,454
4813,455
4827,457
4855,458
4856,459
4860,461
4891,462
4901,464
4904,465
4920,467
4929,468
4932,469
4949,470
4980,471
4981,472
5038,477
5056,480
5107,482
5155,487
5228,497
5231,498
5235,500
5249,501
5283,502
5311,505
5318,507
5359,508
5419,513
5424,514
5426,515
5435,516
5441,517
5448,518
5466,519
5481,520
5502,521
5518,522
5572,526
5626,530
5640,532
5641,533
5702,535
5708,536
5738,539
5738,540
5816,543
5838,546
5853,547
5858,548
5859,549
5908,551
5928,553
5961,554
5973,558
5981,560
6003,565
6010,566
6033,567
6052,570
6062,573
6131,575
6134,576
6136,577
6190,579
6194,580
6211,582
6212,583
6217,585
6253,586
6270,587
6271,588
6271,589
6316,594
6319,595
6324,596
6328,597
6365,598
6389,603
6413,606
6436,608
6485,612
6502,614
6516,616
6529,618
6533,620
6540,621
6569,623
6581,625
6701,635
6702,636
6726,641
6837,646
6858,651
6862,652
6901,654
6909,655
6927,657
6933,659
6957,662
6961,663
6967,664
6987,665
6988,666
7013,669
7021,670
7023,671
7061,672
7062,673
7068,675
7124,678
7148,680
7156,681
7170,685
7204,689
7241,691
7303,694
7332,695
7355,696
7357,697
7379,698
7390,701
7403,702
7404,703
7422,704
7423,705
7427,706
7455,708
7484,711
7491,712
7502,714
7513,715
7524,717
7529,718
7535,720
7552,722
7556,723
7592,725
7625,727
7670,731
7690,733
7692,734
7693,735
7695,736
7707,738
7711,739
7724,742
7747,745
7779,747
7806,749
7884,755
7916,756
7928,757
7935,758
7936,759
7962,761
7964,762
7970,763
7987,765
7989,766
7994,768
8019,769
8033,771
8089,774
8101,775
8113,776
8143,778
8151,779
8168,780
8171,781
8222,784
8277,789
8281,790
8370,792
8372,793
8385,796
8457,803
8470,805
8488,806
8495,808
8498,809
8516,811
8532,812
8564,816
8588,818
8599,821
8624,826
8646,828
8655,829
8664,830
8674,831
8726,833
8733,834
8741,836
8745,837
8765,838
8768,840
8807,842
8808,843
8829,845
8870,846
8883,847
8934,853
8942,855
8984,859
8991,860
9002,861
9016,863
9019,864
9026,865
9034,866
9054,868
9070,871
9077,872
9088,873
9110,874
9128,876
9131,877
9165,882
9166,884
9198,888
9245,891
9307,898
9313,899
9314,900
9325,901
9386,905
9443,907
9539,911
9548,912
9614,915
9624,917
9627,918
9631,919
9634,920
9639,921
9653,922
9662,924
9669,925
9669,926
9681,927
9690,928
9723,931
9771,936
9808,940
9820,942
9823,943
9902,950
9902,951
9958,955
9986,959
9999,960
10049,962
10050,963
10056,964
10069,966
10087,969
10098,970
10128,971
10145,972
10151,973
10157,974
10175,975
